,precision,recall,f1-score,support
0,0.9997186417430144,0.9997713843556556,0.9997450123537118,56864.0
1,0.8631578947368421,0.8367346938775511,0.8497409326424871,98.0
accuracy,0.9994908886626171,0.9994908886626171,0.9994908886626171,0.9994908886626171
macro avg,0.9314382682399283,0.9182530391166033,0.9247429724980994,56962.0
weighted avg,0.9994836964600783,0.9994908886626171,0.9994869385534292,56962.0
