Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.9994908886626171,0.8631578947368421,0.8367346938775511,0.8497409326424871,0.975393850562172
Logistic Regression,0.9742108774270566,0.058027079303675046,0.9183673469387755,0.1091570648878108,0.9698631105509169
Decision Tree,0.9970331097924933,0.34080717488789236,0.7755102040816326,0.4735202492211838,0.8864625443593306
